trust_code,region,trust_name,period,total_attendances,within_4hrs,pct_4hrs_total,pct_4 hrs_type1,total_emergency_dmissions,over_12hrs
RTK,NHS England South East ,Ashford And St Peter's Hospitals NHS Foundation Trust,2025-04,"14,951","11,162",74.7,46.0,"3,378",183
NTV0B,NHS England South East ,Ashford Walk-In-Centre,2025-04,"2,333","2,284",97.9,,0,0
RWX,NHS England South East ,Berkshire Healthcare NHS Foundation Trust,2025-04,"1,472","1,462",99.3,,32,0
Y02676,NHS England South East ,Brighton Station Health Centre,2025-04,"2,001","2,001",100.0,,0,0
RXQ,NHS England South East ,Buckinghamshire Healthcare NHS Trust,2025-04,"14,764","11,730",79.5,70.8,"6,915",212
RN7,NHS England South East ,Dartford And Gravesham NHS Trust,2025-04,"15,145","11,212",74.0,64.7,"3,497",525
Y00751,NHS England South East ,East Berks Primary Care Ooh(Wam),2025-04,0,0,,,0,0
RVV,NHS England South East ,East Kent Hospitals University NHS Foundation Trust,2025-04,"24,686","18,803",76.2,54.2,"3,941","1,256"
RXC,NHS England South East ,East Sussex Healthcare NHS Trust,2025-04,"14,339","11,118",77.5,67.8,"3,573",7
NDJ,NHS England South East ,First Community Health And Care Cic,2025-04,"2,350","2,350",100.0,,0,0
RDU,NHS England South East ,Frimley Health NHS Foundation Trust,2025-04,"34,112","24,159",70.8,55.6,"6,247",129
RW1,NHS England South East ,Hampshire And Isle Of Wight Healthcare NHS Foundation Trust,2025-04,"2,866","2,796",97.6,,170,0
RN5,NHS England South East ,Hampshire Hospitals NHS Foundation Trust,2025-04,"14,339","9,339",65.1,54.8,"5,332",54
R1F,NHS England South East ,Isle Of Wight NHS Trust,2025-04,"6,186","4,337",70.1,57.0,"1,449",132
RYY,NHS England South East ,Kent Community Health NHS Foundation Trust,2025-04,"9,195","9,164",99.7,,0,0
RWF,NHS England South East ,Maidstone And Tunbridge Wells NHS Trust,2025-04,"21,325","17,491",82.0,79.7,"5,868",185
RPA,NHS England South East ,Medway NHS Foundation Trust,2025-04,"16,997","13,246",77.9,67.0,"2,342",412
RNU,NHS England South East ,Oxford Health NHS Foundation Trust,2025-04,"4,227","3,935",93.1,,0,0
RTH,NHS England South East ,Oxford University Hospitals NHS Foundation Trust,2025-04,"19,290","14,566",75.5,66.1,"9,202",0
AQN04,NHS England South East ,Phl Lymington Utc,2025-04,"3,309","3,267",98.7,,0,0
RHU,NHS England South East ,Portsmouth Hospitals University NHS Trust,2025-04,"16,335","11,436",70.0,59.2,"5,626",503
NTP11,NHS England South East ,Practice Plus Group Hospital - Southampton,2025-04,"5,503","5,449",99.0,,0,0
NTPAD,NHS England South East ,Practice Plus Group Surgical Centre - St Marys Portsmouth,2025-04,"5,431","5,223",96.2,,0,0
RPC,NHS England South East ,Queen Victoria Hospital NHS Foundation Trust,2025-04,"1,450","1,435",99.0,,555,0
Y07709,NHS England South East ,Reading Urgent Care Centre,2025-04,"2,244","2,244",100.0,,0,0
RHW,NHS England South East ,Royal Berkshire NHS Foundation Trust,2025-04,"16,083","11,463",71.3,60.2,"2,675",25
RA2,NHS England South East ,Royal Surrey County Hospital NHS Foundation Trust,2025-04,"8,956","6,768",75.6,70.4,"3,514",1
NQT51,NHS England South East ,Station Plaza Health Centre,2025-04,"1,209","1,209",100.0,,0,0
RTP,NHS England South East ,Surrey And Sussex Healthcare NHS Trust,2025-04,"10,067","6,284",62.4,62.4,"3,858",609
RDR,NHS England South East ,Sussex Community NHS Foundation Trust,2025-04,"11,779","11,647",98.9,,0,0
RHM,NHS England South East ,University Hospital Southampton NHS Foundation Trust,2025-04,"12,898","8,207",63.6,60.7,"5,336",10
RYR,NHS England South East ,University Hospitals Sussex NHS Foundation Trust,2025-04,"31,456","21,314",67.8,64.0,"10,124",723
ACH01,NHS England South East ,Whitstable Medical Practice,2025-04,"4,951","4,951",100.0,,0,0
NTV0W,NHS England South East ,Woking Walk In Centre,2025-04,"2,528","2,470",97.7,,0,0
RJ8,NHS England South West ,Cornwall Partnership NHS Foundation Trust,2025-04,0,0,,,84,0
RBD,NHS England South West ,Dorset County Hospital NHS Foundation Trust,2025-04,"9,149","7,502",82.0,65.7,"2,498",25
RDY,NHS England South West ,Dorset Healthcare University NHS Foundation Trust,2025-04,0,0,,,5,0
RTQ,NHS England South West ,Gloucestershire Health And Care NHS Foundation Trust,2025-04,"8,409","8,239",98.0,,26,0
RTE,NHS England South West ,Gloucestershire Hospitals NHS Foundation Trust,2025-04,"13,358","8,122",60.8,60.8,"5,262",461
RN3,NHS England South West ,Great Western Hospitals NHS Foundation Trust,2025-04,"11,033","7,679",69.6,47.6,"3,657",342
RVJ,NHS England South West ,North Bristol NHS Trust,2025-04,"8,875","5,379",60.6,60.6,"4,742",299
